rot_diff,rmsd
1.08154,1.29787
1.48301,2.09343
1.91155,3.0504
2.35413,4.03764
2.8358,5.01626
3.34985,5.96799
3.83429,6.88094
4.27441,7.74585
4.65685,8.55485
4.97001,9.301
5.20439,9.97816
5.35285,10.5808
5.41091,11.1042
5.41508,11.5442
5.37351,11.8973
5.24092,12.1607
5.02131,12.3325
4.72135,12.4112
4.96916,12.3962
5.20391,12.2878
5.35278,12.0866
5.41126,11.7944
5.41565,11.4133
5.37451,10.9463
5.24232,10.3972
5.0231,9.77024
4.72349,9.07047
4.35259,8.30359
3.92166,7.47599
3.44378,6.59486
2.93346,5.66846
2.44369,4.70668
1.99917,3.72283
1.56607,2.73913
1.15751,1.80998
0.785903,1.14339
1.41604,1.20036
1.76833,1.84049
2.17955,2.7564
2.70033,3.73418
3.2174,4.71528
3.71508,5.67586
4.17827,6.60194
4.59289,7.48329
4.94637,8.31146
5.22798,9.07915
5.42917,9.77988
5.57777,10.4079
5.73316,10.9582
5.7928,11.4263
5.75487,11.8086
5.62052,12.1021
5.39385,12.3044
5.08171,12.4139
5.22727,12.4299
5.42885,12.3523
5.57745,12.1815
5.73327,11.9189
5.79334,11.5666
5.75586,11.1274
5.62195,10.6048
5.39568,10.0027
5.08392,9.32621
4.69612,8.58069
4.24407,7.77239
3.77422,6.90832
3.36711,5.99647
2.93609,5.04634
2.49423,4.07028
2.05495,3.08749
1.63158,2.139
1.23697,1.35859
1.78066,1.27385
2.08669,1.69176
2.58876,2.52886
3.0971,3.48062
3.59626,4.45502
4.0711,5.41829
4.50721,6.35279
4.89134,7.24663
5.21183,8.09049
5.45896,8.87649
5.63113,9.59777
5.89238,10.2483
6.05962,10.8226
6.12775,11.3162
6.09473,11.7251
5.96154,12.046
5.73223,12.2764
5.41377,12.4146
5.45841,12.4593
5.63033,12.4104
5.892,12.268
6.05968,12.0335
6.12827,11.7085
6.09571,11.2957
5.96297,10.7984
5.73409,10.2205
5.41601,9.56671
5.01839,8.84237
4.55754,8.05361
4.22001,7.20732
3.83925,6.31143
3.4268,5.37534
2.9952,4.41113
2.55753,3.43683
2.12709,2.48749
1.71693,1.66018
