design name, Legal placement of GU-pairs, Direction of GC-pairs in multiloops, 1-1 Loop Energy V1, Tetraloop similarity, Loops & Stacks, Energy Limit in Tetraloops, Closing GC pairs in 3-1 internal loops, Eli Blue line, Mismatch, Clean plot  stack caps  and safe GC, No Blue Nucleotides in Hook Area, Direction of GC-pairs in multiloops + neckarea, Loop pattern for small multiloops, The 1-1 Loop V1, Berex Loop Basic, Repetition, Green and blue nucleotides a strand + Strong middle half, G's in place of the last A's on the right hand side of any end loop, Ding quad energy, Twisted Basepairs, JP-Stratmark, Eli Green line, Double AU-pair strategy, Tests by Region - boundaries, Multiloop similarity, No blue nucleotides in multiloop ring, Tests by Region - loops, Wrong Direction of GC-pairs in multiloops, Eli Red line, [Example] 60% of pairs should be GC pairs, Tetraloop Pattern, A basic test, Tetraloop blues, Only As in the loops, GC-pairs in junctions, Test by kkohli, Clean Dot Plot, Berex Test, Numbers of yellow nucleotides pr length of string, deivad's strategy, chemical reactivity score
breicher, 70.897994, N/A, N/A, N/A, 85.502848, 100.000000, N/A, 100.000000, 67.259772, 68.703706, 94.217676, N/A, N/A, 80.000000, 80.000000, 87.925443, 100.000000, 80.000000, 71.391673, 99.000000, 73.310928, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 87.000000, N/A, 100.000000, 61.210938, 100.000000, 92.585387, 100.000000, 92.000000, 87.073633, 77.269482, 99.609320, 84.808471, 90.393824, 77.487235, 81.000000
GoodStuff-GAAA+Ubulges, 75.218183, N/A, N/A, N/A, 73.544972, 91.696742, N/A, 100.000000, 63.253865, 86.389298, 94.217676, N/A, N/A, 80.000000, 80.000000, 82.973548, 100.000000, 80.000000, 76.973857, 97.000000, 78.132032, 100.000000, 100.000000, 99.000000, 100.000000, 100.000000, 47.000000, N/A, 100.000000, 81.210938, 94.984375, 80.622099, 100.000000, 79.000000, 95.691211, 90.946899, 99.946796, 73.822158, 100.000000, 78.846462, 83.000000
synthesize me #4, 60.179229, N/A, N/A, N/A, 36.898835, 100.000000, N/A, 100.000000, 84.417839, 45.705740, 94.217676, N/A, N/A, 80.000000, 83.740074, 80.748061, 100.000000, 81.000000, 61.705979, 96.000000, 71.703893, 100.000000, 100.000000, 99.000000, 100.000000, 100.000000, 95.000000, N/A, 100.000000, 31.210938, 94.984375, 72.852620, 100.000000, 79.000000, 74.147266, 61.271361, 97.853397, 53.501761, 100.000000, 72.614153, 37.000000
Putting lot of reds, 60.179229, N/A, N/A, N/A, 37.245367, 100.000000, N/A, 100.000000, 84.417839, 45.769736, 94.217676, N/A, N/A, 80.000000, 83.740074, 83.884160, 100.000000, 81.000000, 61.705979, 96.000000, 71.703893, 100.000000, 100.000000, 99.000000, 100.000000, 100.000000, 95.000000, N/A, 100.000000, 31.210938, 94.984375, 72.852620, 100.000000, 78.000000, 74.147266, 52.985554, 97.870485, 52.603395, 100.000000, 72.614153, 38.000000
Pure Butter, 77.405776, N/A, N/A, N/A, 68.087569, 100.000000, N/A, 100.000000, 82.228772, 88.517682, 100.000000, N/A, N/A, 80.000000, 80.000000, 84.685389, 100.000000, 80.000000, 81.077367, 94.000000, 78.132032, 100.000000, 100.000000, 97.000000, 100.000000, 100.000000, 81.000000, N/A, 69.378516, 83.789062, 100.000000, 65.414993, 100.000000, 92.000000, 95.691211, 100.000000, 99.888702, 79.784329, 42.362942, 81.701106, 79.000000
Perception 10, 75.218183, N/A, N/A, N/A, 78.095897, 100.000000, N/A, 100.000000, 73.338365, 83.862707, 100.000000, N/A, N/A, 80.000000, 81.827441, 72.204386, 100.000000, 80.000000, 94.214796, 97.000000, 74.917963, 100.000000, 85.594336, 100.000000, 100.000000, 100.000000, 70.000000, N/A, 100.000000, 86.210938, 94.984375, 85.634369, 100.000000, 79.000000, 100.000000, 91.714193, 99.898564, 79.633460, 100.000000, 68.479527, 92.000000
Default title, 75.218183, N/A, N/A, N/A, 50.096032, 100.000000, N/A, 100.000000, 80.776791, 95.481685, 100.000000, N/A, N/A, 80.000000, 83.740074, 77.579903, 100.000000, 81.000000, 100.000000, 96.000000, 81.346101, 84.513086, 100.000000, 99.000000, 100.000000, 100.000000, 66.000000, N/A, 84.689258, 68.789062, 94.984375, 57.991873, 100.000000, 83.000000, 100.000000, 91.714193, 99.868981, 67.584597, 42.362942, 81.114603, 10.000000
beginners_luck, 75.218183, N/A, N/A, N/A, 49.722606, 100.000000, N/A, 100.000000, 87.289044, 95.258809, 100.000000, N/A, N/A, 80.000000, 80.000000, 62.301948, 100.000000, 80.000000, 100.000000, 100.000000, 81.346101, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 43.000000, N/A, 100.000000, 68.789062, 100.000000, 62.477788, 100.000000, 92.000000, 100.000000, 100.000000, 99.809472, 73.735663, 42.362942, 83.136152, 10.000000
Vienna RNA design 01, 66.358988, N/A, N/A, N/A, 75.027248, 91.696742, N/A, 100.000000, 85.286400, 52.562544, 88.435352, N/A, N/A, 80.000000, 83.654882, 70.481567, 100.000000, 81.000000, 73.276387, 98.000000, 73.310928, 100.000000, 100.000000, 98.000000, 100.000000, 94.476074, 82.000000, N/A, 100.000000, 61.210938, 94.984375, 81.851549, 88.809766, 80.000000, 78.456055, 71.464722, 97.805053, 71.409350, 80.787647, 71.763965, 66.000000
Vienna RNA design 02, 69.046026, N/A, N/A, N/A, 69.711767, 100.000000, N/A, 100.000000, 83.201464, 69.355227, 100.000000, N/A, N/A, 80.000000, 81.827441, 69.312957, 100.000000, 80.000000, 70.622950, 98.000000, 74.917963, 100.000000, 100.000000, 99.000000, 100.000000, 100.000000, 65.000000, N/A, 84.689258, 71.210938, 94.984375, 92.309036, 100.000000, 75.000000, 82.764844, 78.067085, 99.783282, 76.985255, 80.787647, 65.692473, 62.000000
