-0.283970736686 -0.71399236749 0.639980874614 -0.830069543803 0.51715648466 0.208647364769 -0.479942885307 -0.471978886752 -0.739520626692 |38.8288649985 13.7676297761 9.66128813093
0.768316629446 0.620574179947 0.156771311471 -0.587087233026 0.780826048346 -0.21363347828 -0.254986544223 0.0720997184997 0.964252815841 |32.4007074881 40.3592821554 29.2675334445
0.53990914131 0.576617508263 -0.613196843024 0.678372244912 0.1331948639 0.72254427239 0.498306348006 -0.80608397664 -0.319248188941 |2.12808702744 2.24672254517 0.650252162097
0.298001701311 -0.932555972072 0.20379976685 0.768244959955 0.107586402226 -0.631050590333 0.566563913005 0.344622293255 0.748492356322 |33.5939880662 36.6283938768 23.1742830112
-0.859701161063 0.200112513177 0.469966909194 -0.0625983157367 0.871855148166 -0.485746900642 -0.506947102304 -0.447016311432 -0.737008176874 |33.6808946161 30.0083306075 3.22198345308
0.098662853898 -0.255906919191 0.961653414683 -0.993072921787 -0.0872871294521 0.0786583056372 0.063810761431 -0.962752619182 -0.262746229247 |26.8023644803 29.5282018886 33.0357927102
0.532567601036 -0.815050971112 -0.228174636662 0.25843759162 0.413306384351 -0.873148237067 0.805966352626 0.406041558395 0.430753399628 |30.8143555107 6.73711683377 37.6858724364
0.955346259105 -0.291911707509 0.0458375417469 -0.233798596649 -0.841607795238 -0.486861926217 0.180697928652 0.454404966978 -0.872275406375 |13.6262486807 27.2183539582 0.746403484434
-0.283604696783 0.349224513624 -0.893090485363 -0.542663818369 0.709410340787 0.449725414689 0.790622764785 0.612192132805 -0.0116805965621 |39.3906233473 44.031551001 25.487068877
0.0646153235244 -0.85444466276 0.515508659721 -0.631291672836 0.365080900638 0.684241740759 -0.772849069207 -0.369648825605 -0.515813979992 |10.4523481028 49.5918447796 45.6498579581
0.676921150209 -0.643714353281 -0.356944796544 0.709631339755 0.6995169789 0.0842576872976 0.195451063025 -0.31033502479 0.930317716886 |36.5034926776 30.3497235141 42.0270923171
0.164855278427 -0.562612678004 0.810117097538 -0.972890959302 -0.227820551286 0.0397615105387 0.162190993842 -0.794710495061 -0.584918208433 |6.90698157431 9.43812021475 15.7610983829
-0.0365766982047 0.237200063301 0.970771999554 -0.720453184442 -0.67945649284 0.138874343796 0.692538341304 -0.694316213485 0.195743816037 |33.0486424299 1.94578705686 6.2796754294
0.0370527941183 0.643733158946 0.764352477933 -0.984511309917 0.154675186901 -0.0825413060364 -0.171360938061 -0.749455273269 0.639493723406 |48.9325200992 39.1738386233 36.58239564
0.122693546367 -0.966183748535 0.226793425273 -0.800003894662 -0.231520718207 -0.553526806547 0.587315981568 -0.113521456598 -0.801356859762 |41.9386104656 48.0831480598 6.29545571949
-0.20515162094 -0.407409838206 0.889904509573 -0.711287989738 0.686627677404 0.150372298903 -0.672296220486 -0.602129268809 -0.430648505819 |38.8535085744 30.3862736452 46.7980852479
-0.159220481999 0.389660847097 0.907090548045 -0.657143611863 -0.727519413675 0.197174481395 0.73675715911 -0.564694543064 0.371899128172 |9.40370056388 35.8111847453 44.9710855414
0.629013608749 0.700688007567 -0.336716789097 0.764730335926 -0.479850306085 0.430036274127 0.139747605788 -0.52799621192 -0.837669748096 |15.6016627338 15.8513361385 29.5100492627
0.358958980796 0.204870302108 0.910591351496 -0.696396128067 -0.590783257092 0.407440272865 0.62143453631 -0.780386636516 -0.0693960706934 |39.0679639335 0.784958104433 24.3945328367
0.499213704621 -0.285153699994 -0.818213324566 0.671710731757 0.723865195088 0.157555933505 0.547348490416 -0.628256752228 0.552904226172 |6.48495046653 29.7476311819 30.7062028558
-0.952466555923 0.163114265783 -0.257295931074 -0.198846504467 0.306982998211 0.930710216163 0.230797589915 0.937632750658 -0.259956337454 |29.1105217734 0.691173132757 16.3185059095
-0.614065229316 -0.71624823185 0.331530337248 0.619970417641 -0.69768647957 -0.358985037954 0.488426632561 -0.0149012280078 0.872477723503 |15.3705176236 31.911732325 5.22026310678
0.246943166705 -0.00916722196317 -0.968986601796 -0.461908871664 0.877928646228 -0.126021769588 0.851856365061 0.478703722749 0.212564058887 |18.0066627611 12.6954258283 29.5857763793
0.0875487961114 0.969568013387 -0.228633059107 0.782135859406 0.0752353089125 0.618549226597 0.616926823643 -0.232975354298 -0.751747150683 |43.7971374284 28.3761780963 12.7565701292
0.755293675226 -0.451737395724 -0.474831327387 -0.324219442394 -0.887182699609 0.328311758378 -0.569572837605 -0.0940222464088 -0.816545528334 |1.42151266831 41.8884996389 40.9649604549
0.306474972682 0.129025792401 -0.943093545739 -0.951057532209 0.00036074665127 -0.309013657126 -0.039530514135 0.991641172379 0.122821511533 |15.393617602 26.6862681521 2.13087534557
0.471636712317 -0.186830114597 0.861773357603 0.851069558656 -0.159280469984 -0.500310241961 0.230736685258 0.969393748774 0.0838829059742 |41.6253116408 15.1382998773 1.26581924728
0.147385831579 -0.950381585375 0.273956673272 0.600897501361 0.306043422961 0.7384169663 -0.785620525131 0.05578768182 0.616188384384 |42.9506588895 14.6612452307 2.34530404501
0.443380609396 0.333125080313 -0.832130588356 0.895061121478 -0.213997527751 0.391242440099 -0.0477412193944 -0.918277049143 -0.393049662241 |8.30763173118 22.6714733637 14.5474760056
0.302043937202 -0.711464239996 -0.634498301973 0.732805799986 -0.252423300104 0.631884591577 -0.609725446005 -0.655820945664 0.445122194146 |1.66644062571 2.94269590423 19.4972574595
-0.452365686822 0.19680319012 -0.869846992146 0.55352920628 -0.702789015669 -0.446870246549 -0.699264401483 -0.683634481148 0.208981322143 |29.3956705554 26.3514376754 13.9720604035
-0.802515051108 0.485614563044 0.346623843532 -0.280078476976 -0.819603986972 0.499805313371 0.526807022998 0.304019408424 0.793754722708 |32.9368310012 25.9065022811 35.1530366421
-0.045580217922 -0.319173559253 -0.946599536662 0.95809031752 -0.282238992589 0.0490315667455 -0.282816879286 -0.904692981147 0.318661611517 |46.8641317702 31.2152887954 22.9670766707
-0.0633458898948 0.276632993779 0.958885543215 -0.850278355955 0.48808344881 -0.1969803655 -0.52250743117 -0.827797519778 0.204296966746 |45.9603182076 24.9270839361 4.98693921819
-0.421541184571 -0.346233386646 0.838108269666 0.437250253818 -0.887305191259 -0.146634624496 0.79442762115 0.304650520329 0.52542631759 |43.2403122589 16.4846777327 19.5854648349
0.504584868981 0.7638088232 -0.402480051179 0.758582103291 -0.61482030276 -0.215752608051 -0.412246652579 -0.19644866229 -0.88964072553 |0.223944700277 16.4417942011 12.9178508339
-0.199996380496 -0.612530303325 -0.764727451643 0.42334894906 -0.757902225004 0.496346536872 -0.883615931906 -0.224479052124 0.410891761951 |48.8647928636 21.6354133184 8.07795935637
0.39823242989 0.901686188265 -0.168442719272 0.0452855646618 -0.202734072306 -0.978186134414 -0.916166005382 0.381917417537 -0.121568650419 |8.42968831297 37.6737794803 41.7179473429
0.946427657091 0.313969164303 0.0754854539638 -0.046765463842 -0.0980311222186 0.994083945383 0.319511629342 -0.944358651649 -0.0780964517227 |32.3227865017 47.234970535 27.0191212682
0.342013097245 -0.681061713172 -0.647442649325 -0.385509631282 0.526649601461 -0.757642739996 0.85697687571 0.508719117128 -0.0824347885668 |3.11210613923 16.655817009 26.9914927668
-0.706040731885 0.700622732944 -0.103122601793 0.499190002492 0.389095365688 -0.774218404465 -0.502310487976 -0.598107500774 -0.624461040568 |45.2693366453 36.4676728642 31.3655254599
-0.312467066599 0.929912542177 0.193976792925 0.64956974202 0.358163419457 -0.670654989704 -0.693125877849 -0.0835561419945 -0.715957323164 |44.5218723183 28.0539557971 29.5060362577
0.615990691722 -0.654256991072 -0.438751931442 -0.754980887729 -0.331339290974 -0.56587819663 0.224854012363 0.679825024465 -0.698053442965 |13.5614786987 39.0702969753 40.3446093438
0.211865102028 0.355429071646 0.910375391567 0.534886000819 -0.821789771294 0.196363280487 0.817930403317 0.445344525985 -0.364222608448 |3.0090374494 1.68256927821 4.29270426886
0.588059903025 -0.607977622431 0.533431121212 0.805068744112 0.50341187394 -0.313752772784 -0.0777808955187 0.613954147961 0.78550011871 |34.4638090063 24.8110586696 46.6023918531
-0.00378911528642 0.940364895703 -0.340146300193 0.916624719054 -0.132702808886 -0.377079685124 -0.399730868241 -0.313215305251 -0.86145888209 |49.7058890666 1.33622262792 36.7375152272
-0.927667595036 0.336814106457 0.161211323461 0.371062703133 0.783202992602 0.498904342256 0.041776829268 0.522636900793 -0.851531189368 |19.0976961906 48.7119283567 32.1451386954
-0.256655122303 0.813391207663 -0.522037251057 0.393654714781 -0.405323347655 -0.825075117414 -0.882702732366 -0.417262180339 -0.216166970493 |28.9610130767 40.2016349974 49.6553431354
-0.70478138566 -0.677988868366 0.208840352421 -0.663144912893 0.734195737376 0.145586550626 -0.252035757248 -0.0358847264315 -0.967052358188 |21.5099425516 21.9999389893 28.3876788451
0.327877644755 -0.786497526884 0.523371655973 0.857683629455 0.480079683333 0.18412574349 -0.396074540756 0.388516586335 0.831973449281 |39.9325899272 36.9159490023 22.1330367819
-0.314617309994 0.948700809748 0.0313483944534 0.72134283102 0.260424346392 -0.641750481062 -0.616993086176 -0.179292870436 -0.766272535213 |0.506626136709 26.3173720835 9.77000421343
-0.103521495065 0.699182936873 0.707408312677 0.878299603457 -0.269512679259 0.394908498625 0.466768793544 0.662197958698 -0.586191740704 |49.9428477249 10.0756025366 36.1676018279
-0.676229509718 0.667517687724 0.311662937741 0.232090123366 0.594552523876 -0.769832105714 -0.699176533375 -0.448249297744 -0.556978224216 |4.99497159025 15.5056770319 34.9976480616
0.378429150494 0.882803270633 0.278297975945 0.925480364289 -0.355450970472 -0.130922507253 -0.0166575319724 0.307104205359 -0.9515301013 |12.7446046148 33.9893495535 10.1400525399
-0.785035833824 0.084859231912 0.613610340828 -0.357575551466 -0.870950350695 -0.337024051987 0.505824539347 -0.483988013677 0.714070821425 |27.1160924765 11.3187402792 10.7077706115
0.0506823232022 -0.731612981346 0.679833617616 -0.78405134877 0.39249661679 0.480842893574 -0.618623297821 -0.557394699772 -0.553729504414 |38.2725824882 46.503647656 6.41601699038
-0.587667848782 0.502314796747 -0.634292002533 -0.0411381969087 0.764381328906 0.64345072288 0.808055782891 0.40422893141 -0.428538006189 |34.0948219676 12.6834499841 35.6121243115
-0.433479257618 -0.0414842418655 0.900208193082 -0.892489593533 -0.118502623098 -0.435223452669 0.12473194719 -0.9920867835 0.0143441749256 |28.0729754601 31.8257531217 32.0842345503
-0.631351628667 -0.752264852583 -0.18839509693 -0.511105800077 0.586345851843 -0.628465912484 0.583237500601 -0.300493150661 -0.754677337873 |10.3725301838 17.148793934 45.8344649728
0.0530030032726 0.204073488925 0.977519663619 -0.91575750428 0.400297381308 -0.0339145967581 -0.39821963161 -0.893373392057 0.208098792319 |4.66278299471 8.9846972134 3.19207953723
0.323938686982 -0.893867536335 0.309942824668 -0.296877192919 -0.407102029743 -0.863789250746 0.898291522503 0.187799799962 -0.397244982011 |4.90851404307 6.51183776153 47.2409542738
0.666714606093 -0.105827786671 -0.737761556053 -0.42969319512 0.754220977302 -0.496502241149 0.60897897508 0.648036416389 0.457376662002 |16.5077598868 19.7420840547 46.3180308301
0.525174277741 -0.752920406366 0.396614220215 -0.737493348225 -0.17013205154 0.653573749751 -0.424612222297 -0.635740471196 -0.644622768726 |47.9189006389 41.5798343277 7.04841175988
0.288014368555 0.823509433854 0.488753450994 -0.542359747718 0.560908798923 -0.625481593132 -0.789236103813 -0.0849325122886 0.608188162327 |0.21655504968 24.9388375375 0.828068120576
0.135096104086 -0.761587450626 0.633824579604 -0.989628777634 -0.135235377522 0.0484383643942 0.0488254558538 -0.633794878266 -0.771958630462 |37.0594125289 35.7913392958 43.3188963854
0.288368454469 -0.464078912904 -0.837540683827 -0.82890600452 0.316881188975 -0.460978467767 0.479331273899 0.827174150147 -0.293299258762 |8.76147945205 29.2473038452 3.92695137265
-0.708129351773 0.448531537343 0.5453185135 0.504527191049 0.861728954991 -0.0536238904079 -0.493968758779 0.237155367089 -0.836511922934 |28.9103718184 32.1556032073 22.9991388518
0.924030367606 0.382241237684 -0.00771465849996 -0.116243449144 0.261669352464 -0.958131833576 -0.364218808237 0.886239688907 0.286223467822 |19.802191575 27.190257923 15.2368788315
-0.485724973084 0.454489708145 0.74666616082 0.813002898453 0.548668288764 0.19490868634 -0.321088052766 0.70171376935 -0.636003339831 |14.8825511608 3.9750089421 21.9778590088
